"","subject","participant","blocknum","trialnum","blockcode","trialcode","response","correct","latency","ppid"
"1","564",8,1,1,"participant","participant",564,0,5813,"564"
"2","564",8,2,1,"Practice","PrePractice_BOTTOMV",44,1,659,"564"
"3","564",8,2,2,"Practice","PrePractice_TOPV",50,0,522,"564"
"4","564",8,2,3,"Practice","PrePractice_BOTTOMV",44,1,567,"564"
"5","564",8,2,4,"Practice","PrePractice_TOPV",44,1,497,"564"
"6","564",8,2,5,"Practice","PrePractice_BOTTOMH",50,1,487,"564"
"7","564",8,2,6,"Practice","PrePractice_TOPV",44,1,413,"564"
"8","564",8,2,7,"Practice","PrePractice_TOPV",44,1,527,"564"
"9","564",8,2,8,"Practice","PrePractice_BOTTOMV",44,1,491,"564"
"10","564",8,2,9,"Practice","PrePractice_BOTTOMH",50,1,505,"564"
"11","564",8,2,10,"Practice","PrePractice_BOTTOMV",44,1,775,"564"
"12","564",8,2,11,"Practice","PrePractice_BOTTOMH",50,1,665,"564"
"13","564",8,2,12,"Practice","PrePractice_TOPV",44,1,433,"564"
"14","564",8,2,13,"Practice","PrePractice_TOPV",44,1,529,"564"
"15","564",8,2,14,"Practice","PrePractice_BOTTOMH",50,1,461,"564"
"16","564",8,2,15,"Practice","PrePractice_TOPV",44,1,717,"564"
"17","564",8,2,16,"Practice","PrePractice_TOPV",44,1,425,"564"
"18","564",8,3,1,"Assessment1B","PosNegB_TOPCongruentV",44,1,670,"564"
"19","564",8,3,2,"Assessment1B","PosNegB_TOPCongruentH",50,1,513,"564"
"20","564",8,3,3,"Assessment1B","PosNegB_BOTTOMCongruentV",44,1,674,"564"
"21","564",8,3,4,"Assessment1B","PosNegB_TOPIncongruentH",50,1,541,"564"
"22","564",8,3,5,"Assessment1B","PosNegB_TOPIncongruentV",44,1,469,"564"
"23","564",8,3,6,"Assessment1B","PosNegB_BOTTOMIncongruentH",50,1,399,"564"
"24","564",8,3,7,"Assessment1B","PosNegB_BOTTOMCongruentH",50,1,685,"564"
"25","564",8,3,8,"Assessment1B","PosNegB_BOTTOMIncongruentV",44,1,319,"564"
"26","564",8,3,9,"Assessment1B","PosNegB_TOPCongruentH",50,1,447,"564"
"27","564",8,3,10,"Assessment1B","PosNegB_TOPIncongruentH",50,1,339,"564"
"28","564",8,3,11,"Assessment1B","PosNegB_BOTTOMIncongruentV",44,1,371,"564"
"29","564",8,3,12,"Assessment1B","PosNegB_TOPCongruentH",50,1,434,"564"
"30","564",8,3,13,"Assessment1B","PosNegB_BOTTOMIncongruentV",44,1,646,"564"
"31","564",8,3,14,"Assessment1B","PosNegB_BOTTOMCongruentH",50,1,474,"564"
"32","564",8,3,15,"Assessment1B","PosNegB_TOPIncongruentV",44,1,341,"564"
"33","564",8,3,16,"Assessment1B","PosNegB_BOTTOMIncongruentH",50,1,517,"564"
"34","564",8,3,17,"Assessment1B","PosNegB_TOPIncongruentV",44,1,445,"564"
"35","564",8,3,18,"Assessment1B","PosNegB_TOPIncongruentH",50,1,449,"564"
"36","564",8,3,19,"Assessment1B","PosNegB_TOPIncongruentV",44,1,461,"564"
"37","564",8,3,20,"Assessment1B","PosNegB_BOTTOMCongruentV",44,1,536,"564"
